Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,18943,19343,18609,19010,44211,-0.015535992,19436.8,19390.1,19311.65,18578.533330000002,18618.55,1,2,19390
2017-01-03,19009,19276,18409,18410,75514,-0.031562336,19216.8,19253.4,19298.35,18578.533330000002,18614.38333,1,5,19330
2017-01-04,18542,18976,18476,18910,56891,0.027159153,19063.4,19176.7,19306.7,18586.86667,18612.99167,1,2,19288
2017-01-05,18876,19009,18676,18710,40403,-0.010576415,18870.0,19133.4,19310.05,18589.1,18611.608330000003,1,1,18897
2017-01-06,18776,19676,18776,19510,60192,0.042757883,18910.0,19186.7,19316.7,18606.88333,18616.33333,0,0,19510
2017-01-09,19310,19676,19143,19343,42864,-0.008559713,18976.6,19206.7,19298.35,18619.66667,18621.05833,0,0,19343
2017-01-10,19243,19910,19243,19577,105027,0.0120974,19210.0,19213.4,19310.05,18638.56667,18626.9,0,0,19577
2017-01-11,19810,19810,19443,19677,47116,0.005108035,19363.4,19213.4,19303.4,18653.016669999997,18633.016669999997,0,0,19677
2017-01-12,19676,19810,19276,19644,36505,-0.001677085,19550.2,19210.1,19320.1,18668.033330000002,18639.13333,0,0,19644
2017-01-13,19676,19776,19376,19610,38185,-0.001730808,19570.2,19240.1,19335.1,18684.15,18646.91667,1,1,19806
2017-01-16,19576,19776,19410,19644,14924,0.001733809,19630.4,19303.5,19346.8,18702.5,18656.36667,0,0,19644
2017-01-17,19810,19876,19543,19577,28247,-0.003410711,19630.4,19420.2,19336.8,18721.95,18669.70833,1,1,19772
2017-01-18,19576,19876,19576,19810,30740,0.011901721,19657.0,19510.2,19343.45,18760.85,18684.716669999998,1,1,20008
2017-01-19,19810,19910,19610,19677,24170,-0.006713780999999999,19663.6,19606.9,19370.15,18788.65,18701.11667,0,0,19677
2017-01-20,19576,19743,19209,19443,52679,-0.011892057,19630.2,19600.2,19393.45,18805.31667,18716.4,0,0,19443
2017-01-23,19543,20343,19510,20311,158573,0.044643315999999995,19763.6,19697.0,19451.85,18842.016669999997,18736.966669999998,1,1,20514
2017-01-24,20177,20777,20177,20644,111963,0.016395057,19977.0,19803.7,19508.55,18891.483330000003,18758.641669999997,1,5,21676
2017-01-25,20510,20677,20343,20644,74921,0.0,20143.8,19900.4,19556.9,18942.61667,18776.15,0,0,20644
2017-01-26,20744,20777,20310,20644,54133,0.0,20337.2,20000.4,19605.25,18989.86667,18794.766669999997,0,0,20644
2017-01-31,20777,21811,20777,21778,215317,0.054931215,20804.2,20217.2,19728.65,19050.45,18826.45,0,0,21778
2017-02-01,21844,22144,21677,21845,82743,0.0030764990000000003,21111.0,20437.3,19870.4,19109.93333,18861.475,0,0,21845
2017-02-02,21611,21978,21377,21411,104861,-0.019867247,21264.4,20620.7,20020.45,19162.18333,18891.20833,1,2,21839
2017-02-03,21611,21978,21311,21878,133047,0.021811219,21511.2,20827.5,20168.85,19217.766669999997,18923.725,1,1,22096
2017-02-06,22311,22444,21611,22312,192930,0.019837279,21844.8,21091.0,20348.95,19288.91667,18950.966669999998,0,0,22312
2017-02-07,22511,22811,22011,22545,274114,0.010442811,21998.2,21401.2,20500.7,19361.733330000003,18982.925,1,9,24574
2017-02-08,22545,22745,22111,22111,238490,-0.019250388,22051.4,21581.2,20639.1,19427.31667,19009.6,1,1,22332
2017-02-09,22344,22511,21711,21978,145403,-0.006015106,22164.8,21714.6,20759.15,19491.8,19034.33333,0,0,21978
2017-02-10,21844,22278,21777,22078,87644,0.004550005,22204.8,21858.0,20879.2,19560.716669999998,19066.016669999997,0,0,22078
2017-02-13,22311,22311,21511,21778,88357,-0.013588187,22098.0,21971.4,20985.9,19622.41667,19094.641669999997,0,0,21778
2017-02-14,21811,21978,21210,21811,106939,0.001515291,21951.2,21974.7,21095.95,19686.33333,19126.04167,1,1,22029
2017-02-15,21811,21978,21411,21845,92241,0.001558846,21898.0,21974.7,21206.0,19751.36667,19157.725,0,0,21845
2017-02-16,22044,22211,21477,21511,104962,-0.01528954,21804.6,21984.7,21302.7,19808.61667,19184.68333,0,2,21511
2017-02-17,21511,21844,21477,21645,59319,0.006229371,21718.0,21961.4,21394.45,19866.983330000003,19208.30833,0,0,21645
2017-02-20,21611,22545,21444,22545,103631,0.041580042000000005,21871.4,21984.7,21537.85,19942.58333,19233.875,1,2,22995
2017-02-21,22645,23111,22278,22745,120625,0.008871147,22058.2,22004.7,21702.95,20020.95,19260.55833,0,0,22745
2017-02-22,22878,23111,22511,22979,85097,0.010287975,22285.0,22091.5,21836.35,20103.216669999998,19293.908330000002,1,1,23208
2017-02-23,22978,23312,22511,22778,106761,-0.008747116999999999,22538.4,22171.5,21943.05,20183.25,19323.36667,0,0,22778
2017-02-24,22878,23778,22878,23712,147369,0.041004478,22951.8,22334.9,22096.45,20276.63333,19361.99167,0,0,23712
2017-02-27,23745,23745,23245,23279,65955,-0.018260796,23098.6,22485.0,22228.2,20361.13333,19396.733330000003,0,0,23279
2017-02-28,23212,23378,22711,23345,64507,0.002835173,23218.6,22638.4,22306.55,20441.16667,19428.41667,0,0,23345
2017-03-02,23345,23478,22678,22912,81920,-0.018547868999999998,23205.2,22745.1,22359.9,20513.983330000003,19454.266669999997,1,1,23141
2017-03-03,22211,23512,21577,22612,264023,-0.013093575,23172.0,22855.2,22419.95,20579.58333,19483.45,0,0,22612
2017-03-06,22611,23212,21944,23212,128116,0.026534582999999997,23072.0,23011.9,22486.65,20654.06667,19522.91667,0,0,23212
2017-03-07,23045,23512,22745,23179,93142,-0.0014216779999999998,23052.0,23075.3,22530.0,20729.66667,19559.325,1,2,23642
