Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-02-01,46900,47200,46550,46800,139267,0.010799136,46120,46705,47267.5,46514.16667,45302.08333,1,3,48204
2017-02-02,46850,47300,46300,46950,146946,0.003205128,46350,46645,47235.0,46520.0,45338.33333,-1,1,46480
2017-02-03,46700,47150,45850,46050,146545,-0.019169329,46400,46455,47145.0,46520.83333,45362.91667,0,0,46050
2017-02-06,46700,46950,45600,46050,133554,0.0,46430,46340,47087.5,46528.33333,45377.91667,0,0,46050
2017-02-07,46150,47000,46150,46550,148596,0.010857763000000001,46480,46240,47027.5,46550.0,45390.83333,0,0,46550
2017-02-08,46350,46950,46250,46700,126840,0.003222342,46460,46290,46985.0,46598.33333,45406.66667,0,0,46700
2017-02-09,46700,48000,46500,47800,235252,0.023554604,46630,46490,46990.0,46665.83333,45440.41667,0,0,47800
2017-02-10,48200,48200,47350,47700,108540,-0.00209205,46960,46680,46940.0,46731.66667,45465.41667,1,4,49608
2017-02-13,48150,49000,48000,48900,229874,0.025157232999999998,47530,46980,46975.0,46818.33333,45505.41667,0,1,48900
2017-02-14,49000,49000,48100,48500,100923,-0.008179959,47920,47200,47012.5,46902.5,45543.75,1,3,49955
2017-02-15,47500,49450,47400,49150,316443,0.013402062,48410,47435,47070.0,47005.0,45595.83333,0,6,49150
2017-02-16,48800,49450,48150,48500,144582,-0.013224821999999999,48550,47590,47117.5,47098.33333,45644.16667,1,1,48985
2017-02-17,48450,48850,47650,48400,105658,-0.002061856,48690,47825,47140.0,47160.0,45691.66667,1,1,48884
2017-02-20,48400,48750,48050,48550,81449,0.003099174,48620,48075,47207.5,47221.66667,45737.91667,0,0,48550
2017-02-21,48600,48750,48150,48650,87249,0.0020597320000000003,48650,48285,47262.5,47285.0,45785.0,1,1,49136
2017-02-22,48800,49700,48050,48250,167962,-0.008221994,48470,48440,47365.0,47341.66667,45835.83333,0,0,48250
2017-02-23,48550,49050,47900,48800,155732,0.011398964,48530,48540,47515.0,47421.66667,45889.16667,1,1,49288
